Jan - Dec reference period,Police Service Area,Local Government Area,CSA Offence Division,Offence Count
2012,BALLARAT,BALLARAT,A Crimes against the person,2
2012,BALLARAT,BALLARAT,A Crimes against the person,1037
2012,BALLARAT,BALLARAT,A Crimes against the person,227
2012,BALLARAT,BALLARAT,A Crimes against the person,51
2012,BALLARAT,BALLARAT,A Crimes against the person,33
2012,BALLARAT,BALLARAT,A Crimes against the person,3
2012,BALLARAT,BALLARAT,A Crimes against the person,271
2012,BALLARAT,BALLARAT,A Crimes against the person,87
2012,BALLARAT,BALLARAT,B Property and deception offences,94
2012,BALLARAT,BALLARAT,B Property and deception offences,2
2012,BALLARAT,BALLARAT,B Property and deception offences,3
2012,BALLARAT,BALLARAT,B Property and deception offences,1486
2012,BALLARAT,BALLARAT,B Property and deception offences,229
2012,BALLARAT,BALLARAT,B Property and deception offences,11
2012,BALLARAT,BALLARAT,B Property and deception offences,66
2012,BALLARAT,BALLARAT,B Property and deception offences,1090
2012,BALLARAT,BALLARAT,B Property and deception offences,331
2012,BALLARAT,BALLARAT,B Property and deception offences,1033
2012,BALLARAT,BALLARAT,B Property and deception offences,490
2012,BALLARAT,BALLARAT,B Property and deception offences,107
2012,BALLARAT,BALLARAT,B Property and deception offences,119
2012,BALLARAT,BALLARAT,B Property and deception offences,1077
2012,BALLARAT,BALLARAT,B Property and deception offences,56
2012,BALLARAT,BALLARAT,B Property and deception offences,235
2012,BALLARAT,BALLARAT,B Property and deception offences,20
2012,BALLARAT,BALLARAT,B Property and deception offences,1
2012,BALLARAT,BALLARAT,C Drug offences,43
2012,BALLARAT,BALLARAT,C Drug offences,20
2012,BALLARAT,BALLARAT,C Drug offences,171
2012,BALLARAT,BALLARAT,C Drug offences,1
2012,BALLARAT,BALLARAT,D Public order and security offences,152
2012,BALLARAT,BALLARAT,D Public order and security offences,392
2012,BALLARAT,BALLARAT,D Public order and security offences,45
2012,BALLARAT,BALLARAT,D Public order and security offences,1
2012,BALLARAT,BALLARAT,E Justice procedures offences,159
2012,BALLARAT,BALLARAT,E Justice procedures offences,585
2012,BALLARAT,BALLARAT,F Other offences,1
2012,BALLARAT,BALLARAT,F Other offences,15
2012,BALLARAT,BALLARAT,F Other offences,5
2012,BALLARAT,PYRENEES,A Crimes against the person,38
2012,BALLARAT,PYRENEES,A Crimes against the person,7
2012,BALLARAT,PYRENEES,A Crimes against the person,7
2012,BALLARAT,PYRENEES,A Crimes against the person,5
2012,BALLARAT,PYRENEES,B Property and deception offences,4
2012,BALLARAT,PYRENEES,B Property and deception offences,1
2012,BALLARAT,PYRENEES,B Property and deception offences,4
2012,BALLARAT,PYRENEES,B Property and deception offences,24
2012,BALLARAT,PYRENEES,B Property and deception offences,3
2012,BALLARAT,PYRENEES,B Property and deception offences,42
2012,BALLARAT,PYRENEES,B Property and deception offences,6
2012,BALLARAT,PYRENEES,B Property and deception offences,9
2012,BALLARAT,PYRENEES,B Property and deception offences,3
2012,BALLARAT,PYRENEES,B Property and deception offences,1
2012,BALLARAT,PYRENEES,B Property and deception offences,10
2012,BALLARAT,PYRENEES,B Property and deception offences,52
2012,BALLARAT,PYRENEES,B Property and deception offences,1
2012,BALLARAT,PYRENEES,B Property and deception offences,6
2012,BALLARAT,PYRENEES,C Drug offences,2
2012,BALLARAT,PYRENEES,C Drug offences,7
2012,BALLARAT,PYRENEES,D Public order and security offences,21
2012,BALLARAT,PYRENEES,D Public order and security offences,4
2012,BALLARAT,PYRENEES,D Public order and security offences,3
2012,BALLARAT,PYRENEES,E Justice procedures offences,2
2012,BALLARAT,PYRENEES,E Justice procedures offences,6
2012,BALLARAT,PYRENEES,F Other offences,1
2012,BANYULE,BANYULE,A Crimes against the person,2
2012,BANYULE,BANYULE,A Crimes against the person,653
2012,BANYULE,BANYULE,A Crimes against the person,139
2012,BANYULE,BANYULE,A Crimes against the person,13
2012,BANYULE,BANYULE,A Crimes against the person,59
2012,BANYULE,BANYULE,A Crimes against the person,2
2012,BANYULE,BANYULE,A Crimes against the person,262
2012,BANYULE,BANYULE,A Crimes against the person,75
2012,BANYULE,BANYULE,B Property and deception offences,51
2012,BANYULE,BANYULE,B Property and deception offences,2
2012,BANYULE,BANYULE,B Property and deception offences,786
2012,BANYULE,BANYULE,B Property and deception offences,64
2012,BANYULE,BANYULE,B Property and deception offences,7
2012,BANYULE,BANYULE,B Property and deception offences,65
2012,BANYULE,BANYULE,B Property and deception offences,855
2012,BANYULE,BANYULE,B Property and deception offences,271
2012,BANYULE,BANYULE,B Property and deception offences,771
2012,BANYULE,BANYULE,B Property and deception offences,233
2012,BANYULE,BANYULE,B Property and deception offences,46
2012,BANYULE,BANYULE,B Property and deception offences,113
2012,BANYULE,BANYULE,B Property and deception offences,2
2012,BANYULE,BANYULE,B Property and deception offences,581
2012,BANYULE,BANYULE,B Property and deception offences,43
2012,BANYULE,BANYULE,B Property and deception offences,188
2012,BANYULE,BANYULE,B Property and deception offences,12
2012,BANYULE,BANYULE,C Drug offences,41
2012,BANYULE,BANYULE,C Drug offences,27
2012,BANYULE,BANYULE,C Drug offences,291
2012,BANYULE,BANYULE,D Public order and security offences,135
