Licence No,Licence Category,Trading As,Address,Suburb,Postcode,Postal Address,Postal Suburb,Postal Postcode,Council Name,Licensee,
31100120,BYO Permit,OAKLAND HUNT CLUB,SOMERTON ROAD,GREENVALE,3047,SOMERTON ROAD,GREENVALE,3047,HUME CITY COUNCIL,OAKLAND HUNT CLUB,
31100269,BYO Permit,THEODOR HERZL SOCIAL CLUB,222 BALACLAVA RD,CAULFIELD,3162,222 BALACLAVA RD,CAULFIELD,3162,GLEN EIRA CITY COUNCIL,THEODOR HERZL SOCIAL CLUB,
31100277,BYO Permit,GREYTHORN PARK TENNIS CLUB,FRANK AVE NORTH,BALWYN NORTH,3104,P O BOX 149,BALWYN NORTH,3104,BOROONDARA CITY COUNCIL,GREYTHORN PARK TENNIS CLUB INC,
31101566,BYO Permit,HASTINGS YACHT CLUB,FORESHORE,HASTINGS,3915,P O BOX 46,HASTINGS,3915,MORNINGTON PENINSULA SHIRE COUNCIL,HASTINGS YACHT CLUB INC,
31101655,BYO Permit,ASSOCIATION OF UKRAINIANS IN VICTORIA,26 CHANDLER RD,NOBLE PARK,3174,37 SOMERSET DRIVE,DANDENONG NORTH,3175,GREATER DANDENONG CITY COUNCIL,MYROSLAW SLIPECKYJ,
31101728,BYO Permit,CANADIAN BAY CLUB,CANADIAN BAY ROAD,MT ELIZA,3930,P.O. BOX 108,MT ELIZA,3930,FRANKSTON CITY COUNCIL,THE SECRETARY,
31101980,BYO Permit,POINT LEO BOAT CLUB,WESTERNPORT,POINT LEO,3916,PO BOX 393,SHOREHAM POST OFFICE,3916,MORNINGTON PENINSULA SHIRE COUNCIL,POINT LEO BOAT CLUB,
31102287,BYO Permit,YARRA VALLEY RACING CENTRE,YARRA VALLEY RACING CENTRE,YARRA GLEN,3775,P.O. BOX 78,YARRA GLEN,3775,YARRA RANGES SHIRE COUNCIL,YARRA VALLEY RACING CENTRE COMMITTEE OF MANAGEMENT INC,
31102588,BYO Permit,BELGRAVE FIRE BRIGADE SOCIAL CLUB,FIRE STATION AMENETIES HALL BAYVIEW RD,BELGRAVE,3160,4 BAYVIEW ROAD AMENETIES HALL BAYVIEW RD,BELGRAVE,3160,YARRA RANGES SHIRE COUNCIL,BELGRAVE FIRE BRIGADE SOCIAL CLUB,
31102669,BYO Permit,LILYDALE CLUB,SWANSEA ROAD,LILYDALE,3140,PO BOX 190,LILYDALE,3140,YARRA RANGES SHIRE COUNCIL,THE SECRETARY,
31102724,BYO Permit,HAWTHORN TENNIS CLUB,SWINBURNE AVENUE,HAWTHORN,3122,P O BOX 25,HAWTHORN,3122,BOROONDARA CITY COUNCIL,HAWTHORN TENNIS CLUB INC,
31103039,BYO Permit,DAVIES STREET MASONIC TEMPLE,4-8 DAVIES ST,BRUNSWICK NORTH,3056,4-8 DAVIES ST,BRUNSWICK NORTH,3056,MORELAND CITY COUNCIL,DAVIES STREET MASONIC TEMPLE LIMITED,
31103055,BYO Permit,NORTH BALWYN RSL SUB BRANCH,THE CENTREWAY,BALWYN NORTH,3104,THE CENTREWAY,BALWYN NORTH,3104,BOROONDARA CITY COUNCIL,NORTH BALWYN RSL SUB BRANCH,
31103209,BYO Permit,ST PETERS PARISH TENNIS & SOCIAL CLUB,2A PARSIDE AVE,KEILOR EAST,3036,P O BOX 116,KEILOR EAST,3033,BRIMBANK CITY COUNCIL,ST PETERS PARISH TENNIS & SOCIAL CLUB,
31103924,BYO Permit,MONASH UNIVERSITY SPORTS ASSOCIATION CLUB,MONASH UNIVERSITY WELLINGTON ROAD,CLAYTON,3168,MONASH UNIVERSITY WELLINGTON RD,CLAYTON,3168,MONASH CITY COUNCIL,MONASH UNIVERSITY SPORTS ASSOCIATION CLUB,
31104548,BYO Permit,BULLEEN TENNIS CLUB,LOWER TEMPLESTOWE RESERVE THOMPSONS ROAD,LOWER TEMPLESTOWE,3107,TED AJANI RESERVE THOMPSONS ROAD,LOWER TEMPLESTOWE,3107,NILLUMBIK SHIRE COUNCIL,BULLEEN TENNIS CLUB,
31104695,BYO Permit,BALNARRING TENNIS CLUB,BRUCE STREET RESERVE,BALNARRING,3926,P O BOX 76,BALNARRING,3926,MORNINGTON PENINSULA SHIRE COUNCIL,BALNARRING TENNIS CLUB INC,
31105390,BYO Permit,RUSSIAN HOUSE CLUB,114 GREEVES STREET,FITZROY,3065,118 GREEVES STREET,FITZROY,3065,YARRA CITY COUNCIL,RUSSIAN HOUSE CLUB,
31105625,BYO Permit,HAMPTON SAILING CLUB,THE FORESHORE,SANDRINGHAM,3191,P O BOX 42,SANDRINGHAM,3191,BAYSIDE CITY COUNCIL,THE SECRETARY,
31105950,BYO Permit,ELWOOD ANGLING CLUB,FORESHORE,ELWOOD,3184,PO BOX 9,ELWOOD,3184,PORT PHILLIP CITY COUNCIL,ELWOOD ANGLING CLUB,
31106655,BYO Permit,HAWTHORN BOWLING CLUB,CNR WOOD & DENHAM STREETS,HAWTHORN,3122,CNR WOOD & DENHAM STREETS,HAWTHORN,3122,BOROONDARA CITY COUNCIL,HAWTHORN BOWLING CLUB INC,
31106760,BYO Permit,BLACKBURN UNITING CRICKET CLUB,TERRARA RD,VERMONT,3133,22 BASIN-OLINDA ROAD,THE BASIN,3154,WHITEHORSE CITY COUNCIL,BLACKBURN UNITING CRICKET CLUB,
31107415,BYO Permit,BOCSKAI CLUB,BOCSKAI CHAMBERS 123 ST GEORGES ROAD,FITZROY NORTH,3068,MR CSABA CSUTOROS 76 ROSEHILL ROAD,LOWER PLENTY,3093,YARRA CITY COUNCIL,HUNGARIAN REFORMED CHURCH OF AUSTRALIA VICTORIAN DISTRICT,
