Licence No,Licence Category,Trading As,Address,Suburb,Postcode,Postal Address,Postal Suburb,Postal Postcode,Council Name,Licensee,
31100099,BYO Permit,UNIVERSITY SKI CLUB,U S C LODGE ALLOTMENTS 15 & 16 ALPINE VILL,MT BULLER,3723,PO BOX 93 ALLOTMENTS 15 & 16 ALPINE VILL,SANDOWN VILLAGE,3171,MANSFIELD SHIRE COUNCIL,BRUCE ARNOLD,
31100138,BYO Permit,C S I R SKI CLUB,SITE 65 1 SCHUSS STREET,FALLS CREEK,3699,PO BOX 15 1 SCHUSS STREET,CARNEGIE,3163,ALPINE SHIRE COUNCIL,C S I R SKI CLUB,
31100154,BYO Permit,SKILIB ALPINE CLUB,2 GOAL POSTS RD,MT BULLER,3723,PO BOX 140,CANTERBURY,3126,MANSFIELD SHIRE COUNCIL,SKILIB ALPINE CLUB,
31100308,BYO Permit,COONAMAR SKI CLUB,29 STIRLING ROAD CORNER GOAL POST ROAD,MT BULLER,3723,C/- JUDY MILLAR PO BOX 327,BRIGHT,3741,MANSFIELD SHIRE COUNCIL,COONAMAR SKI CLUB,
31100502,BYO Permit,THE NAPIER CLUB,34 THOMPSON STREET,HAMILTON,3300,34 THOMPSON STREET,HAMILTON,3300,SOUTHERN GRAMPIANS SHIRE COUNCIL,THE NAPIER CLUB INC.,
31100560,BYO Permit,WAGGA ALPINE SKI CLUB,SITE 21 VILLAGE,FALLS CREEK,3699,PO BOX 573 VILLAGE,WAGGA WAGGA,2650,ALPINE SHIRE COUNCIL,WAGGA ALPINE SKI CLUB,
31100609,BYO Permit,SKI CLUB,51 STIRLING,MT BULLER,3723,G.P.O BOX 2506W,MELBOURNE,3001,MANSFIELD SHIRE COUNCIL,OLOS CO-OPERATIVE SOCIETY LTD,
31100722,BYO Permit,MELBOURNE WALKING CLUB INC,MT BULLER ALPINE VILLAGE,MOUNT BULLER,3722,G R MORTON 41 ROYENA ROAD,MOORABBIN,3189,MANSFIELD SHIRE COUNCIL,MELBOURNE WALKING CLUB INC,
31100942,BYO Permit,MT BAW BAW SKI CLUB,ALPINE VILLAGE,MOUNT BAW BAW,3833,PO BOX 117,RAWSON,3825,BAW BAW SHIRE COUNCIL,R WALLEY,
31101037,BYO Permit,VICTORIA POLICE ALPINE CLUB,LOT 7 BUTTERCUP RD,MERRIJIG,3723,THE SECRETARY PO BOX 33,BLACKBURN SOUTH,3130,MANSFIELD SHIRE COUNCIL,W M NASH,
31101207,BYO Permit,UNIVERSITY SKI CLUB,ALLOTMENT 5 SECTION B PARISH OF HOTHAM,MT HOTHAM,3741,PO BOX 93 PARISH OF HOTHAM,SANDOWN VILLAGE,3171,ALPINE SHIRE COUNCIL,BRUCE ARNOLD,
31101621,BYO Permit,PATSCHERKOFEL SKI CLUB,BREATHTAKER ROAD,MOUNT BULLER,3723,PATSCHERKOFEL LODGE (MTBULLER) LTD SUITE 8- 79 HIGH STREET,KEW,3101,MANSFIELD SHIRE COUNCIL,PATSCHERKOFEL LODGE (MT BULLER),
31102300,BYO Permit,ILTIS SKI CLUB,STIRLING ROAD,MOUNT BULLER,3723,C/O FRANZ MANDLER 11 MATHER ROAD,MOUNT ELIZA,3930,MANSFIELD SHIRE COUNCIL,ILTIS SKI CLUB,
31102546,BYO Permit,ICICLES SKI CLUB,ARLBERG STREET,FALLS CREEK,3699,P O BOX 531,RICHMOND,3121,ALPINE SHIRE COUNCIL,ICICLES SKI CLUB,
31102554,BYO Permit,ICICLES SKI CLUB,CHAMOIS ROAD,MT BULLER,3723,P O BOX 531,RICHMOND,3121,MANSFIELD SHIRE COUNCIL,THE SECRETARY,
31102651,BYO Permit,BENDIGO YACHT CLUB INC,SUNSET DVE,LAKE EPPALOCK,3551,P O BOX 244,BENDIGO,3550,GREATER BENDIGO CITY COUNCIL,BENDIGO YACHT CLUB INC,
31102960,BYO Permit,STAWELL ATHLETIC CLUB COMMITTEE,8 LOWER MAIN STREET,STAWELL,3380,P O BOX 118,STAWELL,3380,NORTHERN GRAMPIANS SHIRE COUNCIL,STAWELL ATHLETIC CLUB COMMITTEE,
31104166,BYO Permit,ALBURY SKI CLUB,CNR FALLS CREEK ROAD & SITZMARK STREET,FALLS CREEK,3699,P O BOX 120 SITZMARK STREET,ALBURY,2640,ALPINE SHIRE COUNCIL,ALBURY SKI CLUB,
