S/T code,S/T name,LGA code,LGA name,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85 and over,Total Persons
1,New South Wales,10050,Albury,3223,3089,3204,3683,4028,3607,3291,3173,3195,3155,3225,3236,2956,2618,2068,1571,1179,1221,51722
1,New South Wales,10110,Armidale Dumaresq,1463,1464,1764,2284,2939,1690,1301,1112,1354,1472,1606,1568,1284,1219,996,741,516,545,25318
1,New South Wales,10150,Ashfield,2821,2262,1892,1993,3267,4558,4253,3521,3312,2899,2921,2420,2088,1643,1349,1174,961,1206,44540
1,New South Wales,10200,Auburn,7464,5573,4521,5148,7103,9748,9481,6864,5875,5162,5036,4807,3574,2618,1838,1355,841,1051,88059
1,New South Wales,10250,Ballina,2006,2466,2577,2542,1778,1668,2032,2250,2728,2736,3092,3178,3051,2881,2205,1684,1355,1599,41828
1,New South Wales,10300,Balranald,163,138,122,128,133,125,158,143,185,151,217,176,165,111,94,86,66,61,2422
1,New South Wales,10350,Bankstown,15458,15076,13500,13541,14786,14424,14687,13198,13071,12631,12849,11992,9864,8370,6294,4936,3863,4662,203202
1,New South Wales,10470,Bathurst Regional,2587,2918,2881,3261,3805,2758,2496,2302,2773,2569,2687,2540,2277,2070,1564,1133,822,788,42231
1,New South Wales,10550,Bega Valley,1550,1896,1883,2037,1255,1199,1355,1458,1843,2017,2707,3078,2956,2737,2090,1448,971,995,33475
1,New South Wales,10600,Bellingen,743,832,880,855,513,481,525,574,798,808,1008,1193,1060,827,675,502,361,375,13010
1,New South Wales,10650,Berrigan,423,449,477,467,328,372,438,419,450,451,518,653,711,708,551,480,236,285,8416
1,New South Wales,10750,Blacktown,27815,26198,23714,23974,24570,25541,27930,25635,24340,21454,20507,18200,15498,12496,8394,5656,3726,3680,339328
1,New South Wales,10800,Bland,403,471,472,326,233,269,362,321,340,316,398,432,352,354,263,236,186,225,5959
1,New South Wales,10850,Blayney,493,569,598,476,408,370,394,348,519,479,513,474,439,400,315,263,177,145,7380
1,New South Wales,10900,Blue Mountains,4465,5078,5119,5046,4299,3663,3931,4448,5785,5548,5862,6108,5995,5207,3663,2303,1573,1719,79812
1,New South Wales,10950,Bogan,225,253,197,178,199,162,134,177,224,222,208,160,167,153,170,118,56,56,3059
1,New South Wales,11000,Bombala,125,145,143,149,113,110,109,126,131,154,172,241,173,185,122,85,55,92,2430
